,size,interval,temp,test_acc,train_acc,eps_0.1,eps_0.2,eps_0.3
97,2,65,4,0.4245,0.72202,0.0684,0.0292,0.0174
98,2,85,2,0.4102,0.65192,0.0504,0.0177,0.0118
99,2,100,5,0.4135,0.63782,0.0589,0.027,0.0167
100,2,35,1,0.4114,0.65148,0.0427,0.0176,0.0103
101,2,25,6,0.4194,0.65102,0.0481,0.0261,0.0179
102,2,45,10,0.4154,0.62478,0.0507,0.0229,0.0146
103,2,60,4,0.4185,0.84404,0.0838,0.041,0.0276
104,2,60,7,0.4089,0.68538,0.0687,0.0316,0.0179
105,2,80,1,0.4168,0.61696,0.0508,0.0228,0.0168
106,2,5,4,0.4226,0.76046,0.0541,0.0241,0.0141
107,2,55,6,0.4153,0.7217,0.0649,0.0251,0.017
108,2,30,3,0.4263,0.6932,0.0512,0.0263,0.0175
109,2,5,8,0.4096,0.69624,0.0575,0.0284,0.0183
110,2,65,2,0.4093,0.60874,0.0575,0.0228,0.0144
111,2,70,6,0.4153,0.60966,0.0547,0.023,0.0145
112,2,40,10,0.4085,0.66456,0.0602,0.0303,0.0198
113,2,0,7,0.4099,0.72876,0.0554,0.0315,0.0216
114,2,15,9,0.411,0.68424,0.0619,0.0322,0.0214
115,2,45,5,0.4186,0.75752,0.072,0.0296,0.0183
116,2,65,6,0.4132,0.73426,0.0724,0.0359,0.0232
117,2,5,9,0.4166,0.64758,0.0504,0.0228,0.016
118,2,10,2,0.4406,0.69322,0.0548,0.0231,0.0154
119,2,85,5,0.417,0.7153,0.0692,0.0342,0.0226
120,2,95,10,0.4096,0.73974,0.0621,0.0271,0.0181
121,2,100,1,0.4101,0.6555,0.0535,0.0227,0.0137
122,2,25,9,0.4126,0.70054,0.0526,0.0228,0.0141
123,2,80,6,0.4139,0.6627,0.0611,0.0301,0.0192
124,2,5,5,0.411,0.61568,0.043,0.0192,0.0125
125,2,80,5,0.4229,0.65986,0.0646,0.0282,0.0183
126,2,90,9,0.4168,0.74176,0.0622,0.0296,0.0195
127,2,0,8,0.4105,0.62902,0.0578,0.0278,0.0171
128,2,20,8,0.4168,0.66434,0.055,0.0268,0.0169
129,2,55,7,0.414,0.64412,0.0606,0.0272,0.0186
130,2,0,3,0.4154,0.63336,0.0482,0.0226,0.0152
131,2,10,5,0.4184,0.70456,0.0567,0.0208,0.0131
132,2,0,6,0.4101,0.66376,0.0484,0.0245,0.0169
133,2,20,3,0.428,0.82292,0.0644,0.0262,0.0159
134,2,15,4,0.4162,0.64972,0.0577,0.0258,0.0166
135,2,25,8,0.4089,0.66774,0.0541,0.0262,0.0192
136,2,75,6,0.4222,0.68692,0.0607,0.0269,0.0185
137,2,60,6,0.4168,0.75192,0.0731,0.0287,0.0168
138,2,70,1,0.4073,0.62586,0.0513,0.0217,0.0128
139,2,25,2,0.431,0.76724,0.0635,0.0258,0.0132
140,2,95,1,0.4099,0.70828,0.0557,0.0309,0.0211
141,2,15,7,0.4128,0.75408,0.0686,0.0308,0.018
142,2,90,10,0.4128,0.62416,0.0529,0.027,0.0191
143,2,55,9,0.4153,0.70206,0.0591,0.0327,0.0225
144,2,65,8,0.4178,0.7349,0.0735,0.0342,0.0207
145,2,10,8,0.4148,0.68836,0.0564,0.0287,0.0195
146,2,45,7,0.4146,0.64998,0.0527,0.0191,0.0123
147,2,95,6,0.4154,0.7664,0.0738,0.0368,0.0225
148,2,10,6,0.4135,0.60884,0.0504,0.0236,0.0174
149,2,45,9,0.4121,0.63158,0.0533,0.0241,0.0166
150,2,60,5,0.4199,0.67802,0.0572,0.0278,0.0204
151,2,90,6,0.4192,0.71784,0.0697,0.0393,0.0268
152,2,60,10,0.411,0.6706,0.0574,0.0256,0.0169
153,2,55,4,0.4207,0.72182,0.0699,0.0293,0.0167
154,2,100,3,0.4123,0.6472,0.0766,0.0362,0.0249
155,2,35,2,0.4293,0.66336,0.0617,0.0298,0.0163
156,2,95,4,0.4153,0.59812,0.0485,0.0198,0.0124
157,2,75,4,0.4184,0.60158,0.0534,0.0261,0.0182
158,2,50,5,0.4159,0.62898,0.0615,0.0288,0.0204
159,2,100,4,0.4169,0.7203,0.072,0.0266,0.0153
160,2,85,3,0.4146,0.67698,0.0633,0.0294,0.0171
