,size,interval,temp,test_acc,train_acc,eps_0.050
61,2,85,7.0,0.4147,0.633,0.0941
62,2,75,2.0,0.4165,0.59266,0.0884
63,2,50,8.0,0.4096,0.7962,0.1063
64,2,100,9.0,0.4093,0.6372,0.0874
65,2,0,10.0,0.4121,0.701,0.0993
66,2,35,7.0,0.4131,0.654,0.0831
67,2,20,2.0,0.4374,0.74378,0.0932
68,2,5,3.0,0.4246,0.7305,0.0888
69,2,85,9.0,0.4179,0.63544,0.0838
70,2,0,4.0,0.4058,0.6095,0.0869
71,2,75,5.0,0.416,0.71446,0.1013
72,2,85,10.0,0.4106,0.69626,0.0943
73,2,95,8.0,0.4161,0.66608,0.0943
74,2,55,8.0,0.4177,0.71754,0.0982
75,2,80,3.0,0.4203,0.67802,0.108
76,2,20,10.0,0.4095,0.74294,0.095
77,2,55,2.0,0.4104,0.63476,0.1009
78,2,40,2.0,0.4176,0.70682,0.0974
79,2,50,3.0,0.4168,0.7122,0.1116
80,2,95,3.0,0.4146,0.66498,0.0994
81,2,15,2.0,0.4424,0.72416,0.0914
82,2,0,5.0,0.412,0.71294,0.0841
83,2,75,8.0,0.4123,0.73312,0.0977
84,2,95,2.0,0.4195,0.61382,0.0953
85,2,45,2.0,0.413,0.7736,0.1058
86,2,80,8.0,0.4159,0.66604,0.0947
87,2,100,6.0,0.4163,0.72468,0.1072
88,2,60,1.0,0.4103,0.65594,0.0847
89,2,0,2.0,0.4124,0.65754,0.0742
90,2,5,7.0,0.411,0.68138,0.0864
91,2,35,8.0,0.4152,0.66534,0.0897
92,2,65,5.0,0.4247,0.7484,0.1036
93,2,60,9.0,0.4131,0.69074,0.0963
94,2,10,7.0,0.4165,0.7083,0.0948
95,2,35,10.0,0.4144,0.625,0.0848
96,2,40,5.0,0.4255,0.69784,0.0975
97,2,65,4.0,0.4245,0.72202,0.101
98,2,85,2.0,0.4102,0.65192,0.094
99,2,100,5.0,0.4135,0.63782,0.0988
100,2,35,1.0,0.4114,0.65148,0.081
101,2,25,6.0,0.4194,0.65102,0.0822
102,2,45,10.0,0.4154,0.62478,0.0881
103,2,60,4.0,0.4185,0.84404,0.115
104,2,60,7.0,0.4089,0.68538,0.097
105,2,80,1.0,0.4168,0.61696,0.0845
106,2,5,4.0,0.4226,0.76046,0.0885
107,2,55,6.0,0.4153,0.7217,0.0994
108,2,30,3.0,0.4263,0.6932,0.0876
109,2,5,8.0,0.4096,0.69624,0.0888
110,2,65,2.0,0.4093,0.60874,0.09
111,2,70,6.0,0.4153,0.60966,0.0867
112,2,40,10.0,0.4085,0.66456,0.0935
113,2,0,7.0,0.4099,0.72876,0.0888
114,2,15,9.0,0.411,0.68424,0.092
115,2,45,5.0,0.4186,0.75752,0.1068
116,2,65,6.0,0.4132,0.73426,0.1039
117,2,5,9.0,0.4166,0.64758,0.0846
118,2,10,2.0,0.4406,0.69322,0.0893
119,2,85,5.0,0.417,0.7153,0.1016
120,2,95,10.0,0.4096,0.73974,0.0952
121,2,100,1.0,0.4101,0.6555,0.088
122,2,25,9.0,0.4126,0.70054,0.0838
123,2,80,6.0,0.4139,0.6627,0.1002
124,2,5,5.0,0.411,0.61568,0.0794
125,2,80,5.0,0.4229,0.65986,0.1017
126,2,90,9.0,0.4168,0.74176,0.0991
127,2,0,8.0,0.4105,0.62902,0.0911
128,2,20,8.0,0.4168,0.66434,0.0862
129,2,55,7.0,0.414,0.64412,0.0951
130,2,0,3.0,0.4154,0.63336,0.0786
131,2,10,5.0,0.4184,0.70456,0.091
132,2,0,6.0,0.4101,0.66376,0.0788
133,2,20,3.0,0.428,0.82292,0.1027
134,2,15,4.0,0.4162,0.64972,0.0893
135,2,25,8.0,0.4089,0.66774,0.0869
136,2,75,6.0,0.4222,0.68692,0.0983
137,2,60,6.0,0.4168,0.75192,0.1061
138,2,70,1.0,0.4073,0.62586,0.0901
139,2,25,2.0,0.431,0.76724,0.1017
140,2,95,1.0,0.4099,0.70828,0.0881
141,2,15,7.0,0.4128,0.75408,0.0949
142,2,90,10.0,0.4128,0.62416,0.0908
143,2,55,9.0,0.4153,0.70206,0.0906
144,2,65,8.0,0.4178,0.7349,0.1029
145,2,10,8.0,0.4148,0.68836,0.0904
146,2,45,7.0,0.4146,0.64998,0.0948
147,2,95,6.0,0.4154,0.7664,0.1105
148,2,10,6.0,0.4135,0.60884,0.0809
149,2,45,9.0,0.4121,0.63158,0.087
150,2,60,5.0,0.4199,0.67802,0.0977
151,2,90,6.0,0.4192,0.71784,0.0985
152,2,60,10.0,0.411,0.6706,0.0862
153,2,55,4.0,0.4207,0.72182,0.1037
154,2,100,3.0,0.4123,0.6472,0.1036
155,2,35,2.0,0.4293,0.66336,0.0963
156,2,95,4.0,0.4153,0.59812,0.0862
157,2,75,4.0,0.4184,0.60158,0.0924
158,2,50,5.0,0.4159,0.62898,0.0953
159,2,100,4.0,0.4169,0.7203,0.1058
160,2,85,3.0,0.4146,0.67698,0.0983
161,2,5,2.0,0.4284,0.6674,0.0848
162,2,20,1.0,0.4304,0.76042,0.0875
163,2,40,9.0,0.4127,0.66584,0.0819
164,2,5,1.0,0.4326,0.75126,0.0848
165,2,75,10.0,0.4079,0.70712,0.1033
166,2,100,7.0,0.4163,0.7434,0.1067
167,2,95,5.0,0.4151,0.7945,0.1146
168,2,30,2.0,0.429,0.75614,0.0954
169,2,50,6.0,0.4137,0.69586,0.0888
170,2,40,8.0,0.4134,0.5977,0.0769
171,2,60,3.0,0.4225,0.71768,0.1042
172,2,55,1.0,0.4031,0.7457,0.1037
173,2,30,10.0,0.4124,0.7033,0.0922
174,2,60,2.0,0.4131,0.7011,0.1016
175,2,85,1.0,0.4055,0.57198,0.0842
176,2,40,3.0,0.4319,0.724,0.0973
177,2,25,1.0,0.4222,0.6743,0.0882
178,2,20,9.0,0.4093,0.75412,0.0932
179,2,25,7.0,0.4158,0.74626,0.0982
180,2,90,1.0,0.4042,0.5996,0.0877
181,2,35,4.0,0.4295,0.72398,0.0953
182,2,90,2.0,0.4145,0.64132,0.0917
183,2,100,10.0,0.41,0.68446,0.0992
184,2,25,5.0,0.4186,0.83504,0.108
185,2,5,10.0,0.4082,0.64882,0.0885
186,2,70,4.0,0.4231,0.673,0.1001
187,2,65,7.0,0.4149,0.71392,0.0945
188,2,90,5.0,0.4177,0.72538,0.1099
189,2,70,7.0,0.4153,0.6511,0.0983
190,2,10,9.0,0.4139,0.69928,0.0952
191,2,10,1.0,0.4428,0.64476,0.0808
192,2,40,7.0,0.4168,0.64716,0.0907
193,2,30,5.0,0.4146,0.7211,0.0996
194,2,5,6.0,0.4188,0.66802,0.0847
195,2,55,5.0,0.4167,0.70334,0.1013
196,2,20,4.0,0.4223,0.74526,0.0944
197,2,15,6.0,0.4152,0.65038,0.0893
198,2,30,7.0,0.4169,0.69042,0.0955
199,2,65,9.0,0.4179,0.65208,0.0878
200,2,35,9.0,0.4123,0.72358,0.0952
201,2,30,4.0,0.4255,0.80924,0.1088
202,2,25,3.0,0.4298,0.77778,0.1043
203,2,50,7.0,0.4067,0.63886,0.0924
204,2,15,10.0,0.4085,0.72422,0.0992
205,2,70,10.0,0.4155,0.68856,0.0911
206,2,100,2.0,0.416,0.68566,0.1049
207,2,80,2.0,0.419,0.63356,0.0924
208,2,10,10.0,0.4074,0.57038,0.0825
209,2,10,4.0,0.424,0.72422,0.0905
210,2,55,10.0,0.4225,0.68482,0.0925
