,size,interval,temp,test_acc,train_acc,eps_0.100
128,2,20,8.0,0.4168,0.66434,0.1064
129,2,55,7.0,0.414,0.64412,0.1132
130,2,0,3.0,0.4154,0.63336,0.1007
131,2,10,5.0,0.4184,0.70456,0.1095
132,2,0,6.0,0.4101,0.66376,0.0996
133,2,20,3.0,0.428,0.82292,0.1133
134,2,15,4.0,0.4162,0.64972,0.1109
135,2,25,8.0,0.4089,0.66774,0.1092
136,2,75,6.0,0.4222,0.68692,0.1169
137,2,60,6.0,0.4168,0.75192,0.1166
138,2,70,1.0,0.4073,0.62586,0.1137
139,2,25,2.0,0.431,0.76724,0.1141
140,2,95,1.0,0.4099,0.70828,0.1086
141,2,15,7.0,0.4128,0.75408,0.1059
142,2,90,10.0,0.4128,0.62416,0.1095
143,2,55,9.0,0.4153,0.70206,0.1063
144,2,65,8.0,0.4178,0.7349,0.1133
145,2,10,8.0,0.4148,0.68836,0.1049
146,2,45,7.0,0.4146,0.64998,0.1122
147,2,95,6.0,0.4154,0.7664,0.1212
148,2,10,6.0,0.4135,0.60884,0.1071
149,2,45,9.0,0.4121,0.63158,0.109
150,2,60,5.0,0.4199,0.67802,0.1155
151,2,90,6.0,0.4192,0.71784,0.1136
152,2,60,10.0,0.411,0.6706,0.1072
153,2,55,4.0,0.4207,0.72182,0.1192
154,2,100,3.0,0.4123,0.6472,0.1209
155,2,35,2.0,0.4293,0.66336,0.1132
156,2,95,4.0,0.4153,0.59812,0.1123
157,2,75,4.0,0.4184,0.60158,0.1115
158,2,50,5.0,0.4159,0.62898,0.1133
159,2,100,4.0,0.4169,0.7203,0.1199
160,2,85,3.0,0.4146,0.67698,0.115
161,2,5,2.0,0.4284,0.6674,0.1088
162,2,20,1.0,0.4304,0.76042,0.1073
163,2,40,9.0,0.4127,0.66584,0.104
164,2,5,1.0,0.4326,0.75126,0.1087
165,2,75,10.0,0.4079,0.70712,0.1177
166,2,100,7.0,0.4163,0.7434,0.1209
167,2,95,5.0,0.4151,0.7945,0.1264
168,2,30,2.0,0.429,0.75614,0.1098
169,2,50,6.0,0.4137,0.69586,0.104
170,2,40,8.0,0.4134,0.5977,0.1013
171,2,60,3.0,0.4225,0.71768,0.1178
172,2,55,1.0,0.4031,0.7457,0.1162
173,2,30,10.0,0.4124,0.7033,0.1078
174,2,60,2.0,0.4131,0.7011,0.114
175,2,85,1.0,0.4055,0.57198,0.1121
176,2,40,3.0,0.4319,0.724,0.1138
177,2,25,1.0,0.4222,0.6743,0.1107
178,2,20,9.0,0.4093,0.75412,0.1082
179,2,25,7.0,0.4158,0.74626,0.1112
180,2,90,1.0,0.4042,0.5996,0.1128
181,2,35,4.0,0.4295,0.72398,0.1095
182,2,90,2.0,0.4145,0.64132,0.112
183,2,100,10.0,0.41,0.68446,0.1123
184,2,25,5.0,0.4186,0.83504,0.119
185,2,5,10.0,0.4082,0.64882,0.1035
186,2,70,4.0,0.4231,0.673,0.1181
187,2,65,7.0,0.4149,0.71392,0.1099
188,2,90,5.0,0.4177,0.72538,0.1188
189,2,70,7.0,0.4153,0.6511,0.1118
190,2,10,9.0,0.4139,0.69928,0.1134
191,2,10,1.0,0.4428,0.64476,0.0994
192,2,40,7.0,0.4168,0.64716,0.1109
193,2,30,5.0,0.4146,0.7211,0.1168
194,2,5,6.0,0.4188,0.66802,0.1056
195,2,55,5.0,0.4167,0.70334,0.1172
196,2,20,4.0,0.4223,0.74526,0.1101
197,2,15,6.0,0.4152,0.65038,0.1081
198,2,30,7.0,0.4169,0.69042,0.1134
199,2,65,9.0,0.4179,0.65208,0.1073
200,2,35,9.0,0.4123,0.72358,0.111
201,2,30,4.0,0.4255,0.80924,0.1196
202,2,25,3.0,0.4298,0.77778,0.1182
203,2,50,7.0,0.4067,0.63886,0.1101
204,2,15,10.0,0.4085,0.72422,0.1131
205,2,70,10.0,0.4155,0.68856,0.111
206,2,100,2.0,0.416,0.68566,0.1161
207,2,80,2.0,0.419,0.63356,0.1149
208,2,10,10.0,0.4074,0.57038,0.1039
209,2,10,4.0,0.424,0.72422,0.1072
210,2,55,10.0,0.4225,0.68482,0.1089
