,size,interval,temp,test_acc,train_acc,eps_0.1,eps_0.2,eps_0.3
99,2,45,5.0,0.4186,0.75752,0.0,0.0,0.0
100,2,40,7.0,0.4168,0.64716,0.0,0.0,0.0
101,2,50,4.0,0.426,0.67652,0.0,0.0,0.0
102,2,90,8.0,0.4146,0.7091,0.0,0.0,0.0
103,2,20,6.0,0.4171,0.64388,0.0,0.0,0.0
104,2,50,7.0,0.4067,0.63886,0.0,0.0,0.0
105,2,85,9.0,0.4179,0.63544,0.0,0.0,0.0
106,2,60,10.0,0.411,0.6706,0.0,0.0,0.0
107,2,90,2.0,0.4145,0.64132,0.0,0.0,0.0
108,2,65,3.0,0.42,0.65012,0.0,0.0,0.0
109,2,40,6.0,0.4191,0.72664,0.0,0.0,0.0
110,2,90,4.0,0.4163,0.77116,0.0,0.0,0.0
111,2,15,2.0,0.4424,0.72416,0.0,0.0,0.0
112,2,55,10.0,0.4225,0.68482,0.0,0.0,0.0
113,2,35,10.0,0.4144,0.625,0.0,0.0,0.0
114,2,90,3.0,0.4121,0.66496,0.0,0.0,0.0
115,2,60,8.0,0.4185,0.6565,0.0,0.0,0.0
116,2,65,10.0,0.415,0.66598,0.0,0.0,0.0
117,2,80,4.0,0.4192,0.76946,0.0,0.0,0.0
118,2,30,9.0,0.4179,0.67218,0.0,0.0,0.0
119,2,10,2.0,0.4406,0.69322,0.0,0.0,0.0
120,2,90,7.0,0.4127,0.69032,0.0,0.0,0.0
121,2,20,2.0,0.4374,0.74378,0.0,0.0,0.0
122,2,10,9.0,0.4139,0.69928,0.0,0.0,0.0
123,2,5,8.0,0.4096,0.69624,0.0,0.0,0.0
124,2,0,6.0,0.4101,0.66376,0.0,0.0,0.0
125,2,80,2.0,0.419,0.63356,0.0,0.0,0.0
126,2,30,6.0,0.4164,0.6062,0.0,0.0,0.0
127,2,45,7.0,0.4146,0.64998,0.0,0.0,0.0
128,2,20,3.0,0.428,0.82292,0.0,0.0,0.0
129,2,10,6.0,0.4135,0.60884,0.0,0.0,0.0
130,2,20,10.0,0.4095,0.74294,0.0,0.0,0.0
131,2,55,8.0,0.4177,0.71754,0.0,0.0,0.0
132,2,65,9.0,0.4179,0.65208,0.0,0.0,0.0
133,2,25,1.0,0.4222,0.6743,0.0,0.0,0.0
134,2,95,5.0,0.4151,0.7945,0.0,0.0,0.0
135,2,15,6.0,0.4152,0.65038,0.0,0.0,0.0
136,2,95,9.0,0.4158,0.69002,0.0,0.0,0.0
