,size,interval,temp,test_acc,train_acc,eps_0.100,sig_0.100,sig_0.200,sig_0.300
87,2,200,4.0,0.4124,0.71766,0.0,0.0,0.0,0.0
88,2,0,18.0,0.4154,0.66452,0.0,0.0,0.0,0.0
89,2,70,2.0,0.4052,0.64184,0.0,0.0,0.0,0.0
90,2,30,10.0,0.4149,0.6668,0.0,0.0,0.0,0.0
91,2,100,10.0,0.4124,0.74496,0.0,0.0,0.0,0.0
92,2,140,10.0,0.4142,0.71356,0.0,0.0,0.0,0.0
93,2,200,18.0,0.4127,0.69984,0.0,0.0,0.0,0.0
94,2,190,18.0,0.409,0.63106,0.0,0.0,0.0,0.0
95,2,170,12.0,0.4169,0.77674,0.0,0.0,0.0,0.0
96,2,100,20.0,0.4102,0.63286,0.0,0.0,0.0,0.0
97,2,180,4.0,0.4123,0.72892,0.0,0.0,0.0,0.0
98,2,60,2.0,0.4144,0.63254,0.0,0.0,0.0,0.0
99,2,140,6.0,0.4191,0.62234,0.0,0.0,0.0,0.0
100,2,160,6.0,0.4159,0.6689,0.0,0.0,0.0,0.0
101,2,40,8.0,0.4143,0.64832,0.0,0.0,0.0,0.0
102,2,80,20.0,0.4103,0.6586,0.0,0.0,0.0,0.0
103,2,150,18.0,0.413,0.63954,0.0,0.0,0.0,0.0
104,2,120,18.0,0.4175,0.66798,0.0,0.0,0.0,0.0
105,2,10,2.0,0.4397,0.69384,0.0,0.0,0.0,0.0
106,2,120,10.0,0.4153,0.6555,0.0,0.0,0.0,0.0
107,2,40,4.0,0.4239,0.69358,0.0,0.0,0.0,0.0
108,2,100,2.0,0.4127,0.62164,0.0,0.0,0.0,0.0
109,2,20,10.0,0.4135,0.66394,0.0,0.0,0.0,0.0
110,2,20,2.0,0.433,0.70014,0.0,0.0,0.0,0.0
111,2,90,2.0,0.4183,0.72822,0.0,0.0,0.0,0.0
112,2,200,10.0,0.4127,0.73564,0.0,0.0,0.0,0.0
113,2,150,20.0,0.4131,0.63714,0.0,0.0,0.0,0.0
114,2,160,12.0,0.4119,0.61426,0.0,0.0,0.0,0.0
115,2,0,16.0,0.4101,0.67798,0.0,0.0,0.0,0.0
116,2,40,6.0,0.421,0.70522,0.0,0.0,0.0,0.0
117,2,60,12.0,0.411,0.64582,0.0,0.0,0.0,0.0
118,2,10,16.0,0.4128,0.67408,0.0,0.0,0.0,0.0
119,2,80,18.0,0.4189,0.72056,0.0,0.0,0.0,0.0
120,2,10,8.0,0.4163,0.6187,0.0,0.0,0.0,0.0
121,2,60,14.0,0.408,0.73442,0.0,0.0,0.0,0.0
122,2,150,6.0,0.4187,0.6455,0.0,0.0,0.0,0.0
123,2,60,16.0,0.4088,0.6355,0.0,0.0,0.0,0.0
124,2,120,4.0,0.4185,0.71436,0.0,0.0,0.0,0.0
125,2,90,16.0,0.4146,0.64004,0.0,0.0,0.0,0.0
126,2,60,4.0,0.4179,0.62466,0.0,0.0,0.0,0.0
127,2,130,12.0,0.4142,0.68362,0.0,0.0,0.0,0.0
128,2,100,14.0,0.4105,0.69652,0.0,0.0,0.0,0.0
129,2,20,6.0,0.414,0.72562,0.0,0.0,0.0,0.0
130,2,30,12.0,0.4082,0.73978,0.0,0.0,0.0,0.0
131,2,90,6.0,0.4119,0.71836,0.0,0.0,0.0,0.0
132,2,110,2.0,0.4088,0.60362,0.0,0.0,0.0,0.0
133,2,50,6.0,0.4227,0.67442,0.0,0.0,0.0,0.0
134,2,50,2.0,0.4188,0.6709,0.0,0.0,0.0,0.0
135,2,100,12.0,0.4116,0.6401,0.0,0.0,0.0,0.0
136,2,70,10.0,0.4113,0.63868,0.0,0.0,0.0,0.0
137,2,70,8.0,0.4193,0.6281,0.0,0.0,0.0,0.0
138,2,190,14.0,0.4115,0.6961,0.0,0.0,0.0,0.0
139,2,120,12.0,0.4138,0.68518,0.0,0.0,0.0,0.0
140,2,110,6.0,0.416,0.64842,0.0,0.0,0.0,0.0
141,2,40,20.0,0.4173,0.66498,0.0,0.0,0.0,0.0
142,2,200,6.0,0.4201,0.71862,0.0,0.0,0.0,0.0
143,2,90,12.0,0.4088,0.67752,0.0,0.0,0.0,0.0
144,2,80,4.0,0.4164,0.6373,0.0,0.0,0.0,0.0
145,2,200,12.0,0.4168,0.59362,0.0,0.0,0.0,0.0
146,2,70,12.0,0.4091,0.682,0.0,0.0,0.0,0.0
147,2,140,12.0,0.4095,0.64766,0.0,0.0,0.0,0.0
148,2,0,6.0,0.4101,0.63674,0.0,0.0,0.0,0.0
149,2,10,10.0,0.4141,0.70626,0.0,0.0,0.0,0.0
150,2,110,4.0,0.4165,0.69878,0.0,0.0,0.0,0.0
151,2,70,18.0,0.4066,0.66094,0.0,0.0,0.0,0.0
152,2,170,10.0,0.4144,0.7066,0.0,0.0,0.0,0.0
153,2,0,2.0,0.4104,0.66892,0.0,0.0,0.0,0.0
154,2,0,4.0,0.4147,0.63186,0.0,0.0,0.0,0.0
