,size,interval,temp,test_diff,train_diff
165,2,70,4.0,74.08522857999426,147.08178262874705
166,2,30,1.0,64.03543635655964,125.97904091554277
167,2,95,6.0,77.5774908710236,127.34634966671601
168,2,15,3.0,55.25166366627004,95.10713531328761
169,2,95,7.0,75.38419823643414,136.15580172636788
170,2,30,2.0,66.55184407075998,114.03466698086815
171,2,0,4.0,47.68921503305281,112.80275234895645
172,2,65,4.0,76.67867779837006,135.65700227273564
173,2,80,9.0,72.80992820028908,145.76781489538422
174,2,80,5.0,74.03667798800808,149.22373355552392
175,2,100,5.0,75.59579433469662,155.2345629402486
176,2,90,1.0,72.64118123308225,165.368699095763
177,2,80,3.0,76.17292146717067,145.48607912357113
178,2,10,5.0,50.11285846950236,101.65998686645351
179,2,75,3.0,78.24587836089994,135.08361126076693
180,2,100,6.0,77.24831232986583,136.94524453225822
181,2,40,9.0,68.6510545086982,145.56261405105022
182,2,70,10.0,72.55174271575942,147.06032855387954
183,2,35,1.0,65.34408999791985,140.59173912209422
184,2,100,9.0,72.4278264140413,157.90215275210784
185,2,80,1.0,71.01541701014646,161.59035664102916
186,2,70,7.0,72.9635604417969,152.77491229951664
187,2,80,6.0,73.053584250706,150.040489327048
188,2,50,8.0,74.71829255401585,120.24663781682214
189,2,75,7.0,73.31849400049076,153.46377066346963
190,2,30,7.0,65.03636302581042,129.17160944843877
191,2,10,10.0,47.89940784064428,100.75417271911124
192,2,55,6.0,73.50810767888974,137.4734846593153
193,2,95,2.0,73.38333773965654,158.89434259713278
194,2,50,10.0,71.2688126205548,142.91825269406633
195,2,10,7.0,50.91671594762004,101.92622849241259
196,2,5,7.0,48.260083345672435,105.87170246488199
197,2,0,10.0,57.32014585722676,137.44136533900556
198,2,15,8.0,54.72900210925648,108.67165371113343
199,2,55,2.0,72.73628656188396,153.15628506936957
200,2,25,8.0,62.20699286203682,126.41434229350719
201,2,100,7.0,76.09851114468337,134.03665251993576
202,2,50,1.0,70.79100719172422,145.96101255986133
203,2,85,7.0,72.85499698673729,157.1325077760805
204,2,75,4.0,73.35803213627155,160.62903083463775
205,2,20,9.0,60.86728727449787,107.2956178479578
206,2,10,4.0,49.229135808990186,98.46105372969812
207,2,25,5.0,65.79537407751398,102.11991266398537
208,2,100,1.0,72.53183568268489,156.47096251181878
209,2,30,4.0,67.94738529162656,108.94307125025207
210,2,75,8.0,74.66928713605246,137.08818301325246
