,size,interval,temp,test_diff,train_diff
0,2,80,7.0,74.83850451346886,139.43922287147186
1,2,5,6.0,47.36429009879173,103.75907339842622
2,2,45,8.0,69.8373843575649,152.33947750419128
3,2,90,6.0,76.51319841210403,138.74790257423714
4,2,50,9.0,70.3382383447119,149.24292016290087
5,2,85,10.0,74.3227068001008,146.05953810646875
6,2,70,9.0,73.23439000159864,144.83436121135068
7,2,75,2.0,72.7989861386304,162.45311823723176
8,2,30,10.0,65.89707365586312,129.61828725386323
9,2,5,9.0,46.32154253405617,100.56498598543133
10,2,45,10.0,69.1422086683037,156.20307420350278
11,2,70,6.0,72.46605145363759,159.39515803891283
12,2,30,3.0,65.57534952132356,125.65154026239591
13,2,100,8.0,74.84529617400815,138.27282813336828
14,2,25,9.0,62.85660182175079,121.60963498141297
15,2,5,5.0,44.588385769253996,96.31050756375184
16,2,75,5.0,76.05863216850372,138.5710134957885
17,2,20,4.0,58.86251484855939,105.24845047849873
18,2,25,4.0,65.1109817266354,106.07910429103133
19,2,0,1.0,19.29048239888367,46.859015503789394
20,2,75,10.0,73.83523279276974,143.51890391599986
21,2,0,5.0,53.743086401299095,130.58235697491833
22,2,95,1.0,73.62815345008151,145.5412849503535
23,2,95,8.0,73.06505288525425,150.74626213234941
24,2,20,1.0,55.505373033129636,90.72624194003905
25,2,85,3.0,76.1362464752745,146.30176033843543
26,2,90,9.0,75.23706998028797,136.18458148547873
27,2,70,2.0,75.16312988260933,144.14630832291544
28,2,15,4.0,53.494464338319624,105.37174242443986
29,2,100,2.0,76.52935188029983,145.27240710343102
30,2,40,10.0,69.06491794409807,145.54225116783098
31,2,75,6.0,73.59742228098924,145.89070448883987
32,2,60,9.0,71.87531249932066,146.00030768375115
33,2,35,3.0,66.32396740503202,138.73316339289607
34,2,15,10.0,55.69629165659842,102.09490261822576
35,2,55,9.0,71.42063244106181,143.8113795588687
36,2,15,7.0,57.24045746413218,101.46985197276578
37,2,25,10.0,62.73887943044169,128.06018940082433
38,2,5,4.0,48.679569014660814,109.07146721731353
39,2,65,7.0,74.83159478539129,139.48334493990671
40,2,45,9.0,69.03587934341643,154.38374216137527
41,2,80,10.0,74.56329565271207,133.1878152858774
42,2,40,2.0,71.67825994831871,133.0009178187316
43,2,65,8.0,74.59302995044175,135.77660737172292
44,2,60,2.0,74.26490012532838,140.30266530121585
45,2,90,10.0,72.5950346959074,159.59527669624185
46,2,40,4.0,71.82623005712293,128.422170618044
47,2,45,2.0,73.92239186830503,121.61480237310752
48,2,30,5.0,66.44056098898662,124.8219591433134
49,2,95,3.0,76.7302117201888,149.41379595564462
50,2,95,4.0,74.67340348142704,162.16971241572824
51,2,35,7.0,66.36378421600708,141.50036577912087
52,2,15,1.0,49.331025215660425,81.03748951584846
53,2,45,3.0,73.07345940045538,133.50446943595185
54,2,70,8.0,74.25747345069888,142.73895124711055
55,2,15,5.0,54.3266734778771,102.50687858017139
56,2,25,2.0,63.12616606286869,105.49360355313017
57,2,50,3.0,74.68059591520411,136.27246804426417
