,size,interval,temp,test_logit_diff,train_logit_diff,test_soft_diff,train_soft_diff,avg_train_entropy,avg_test_entropy
77,2,55,3.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2,45,1.0,0.0,0.0,0.0,0.0,0.0,0.0
79,2,70,1.0,0.0,0.0,0.0,0.0,0.0,0.0
80,2,40,8.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2,20,5.0,0.0,0.0,0.0,0.0,0.0,0.0
82,2,10,1.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2,65,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84,2,65,5.0,0.0,0.0,0.0,0.0,0.0,0.0
85,2,35,2.0,0.0,0.0,0.0,0.0,0.0,0.0
86,2,50,2.0,0.0,0.0,0.0,0.0,0.0,0.0
87,2,85,1.0,0.0,0.0,0.0,0.0,0.0,0.0
88,2,25,3.0,0.0,0.0,0.0,0.0,0.0,0.0
89,2,75,1.0,0.0,0.0,0.0,0.0,0.0,0.0
90,2,40,5.0,0.0,0.0,0.0,0.0,0.0,0.0
91,2,60,3.0,0.0,0.0,0.0,0.0,0.0,0.0
92,2,50,6.0,0.0,0.0,0.0,0.0,0.0,0.0
93,2,75,9.0,0.0,0.0,0.0,0.0,0.0,0.0
94,2,45,4.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2,100,10.0,0.0,0.0,0.0,0.0,0.0,0.0
96,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,2,50,5.0,0.0,0.0,0.0,0.0,0.0,0.0
98,2,60,5.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2,45,5.0,0.0,0.0,0.0,0.0,0.0,0.0
100,2,40,7.0,0.0,0.0,0.0,0.0,0.0,0.0
101,2,50,4.0,0.0,0.0,0.0,0.0,0.0,0.0
102,2,90,8.0,0.0,0.0,0.0,0.0,0.0,0.0
103,2,20,6.0,0.0,0.0,0.0,0.0,0.0,0.0
104,2,50,7.0,0.0,0.0,0.0,0.0,0.0,0.0
105,2,85,9.0,0.0,0.0,0.0,0.0,0.0,0.0
106,2,60,10.0,0.0,0.0,0.0,0.0,0.0,0.0
107,2,90,2.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2,65,3.0,0.0,0.0,0.0,0.0,0.0,0.0
109,2,40,6.0,0.0,0.0,0.0,0.0,0.0,0.0
110,2,90,4.0,0.0,0.0,0.0,0.0,0.0,0.0
111,2,15,2.0,0.0,0.0,0.0,0.0,0.0,0.0
112,2,55,10.0,0.0,0.0,0.0,0.0,0.0,0.0
113,2,35,10.0,0.0,0.0,0.0,0.0,0.0,0.0
114,2,90,3.0,0.0,0.0,0.0,0.0,0.0,0.0
115,2,60,8.0,0.0,0.0,0.0,0.0,0.0,0.0
116,2,65,10.0,0.0,0.0,0.0,0.0,0.0,0.0
117,2,80,4.0,0.0,0.0,0.0,0.0,0.0,0.0
118,2,30,9.0,0.0,0.0,0.0,0.0,0.0,0.0
119,2,10,2.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2,90,7.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2,20,2.0,0.0,0.0,0.0,0.0,0.0,0.0
122,2,10,9.0,0.0,0.0,0.0,0.0,0.0,0.0
123,2,5,8.0,0.0,0.0,0.0,0.0,0.0,0.0
124,2,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2,80,2.0,0.0,0.0,0.0,0.0,0.0,0.0
